id,title,description,source,impact,effort,confidence,type,impact_reason,effort_reason,confidence_reason,verdict
idea-01,"Post-Game Recap","An evening notification that recaps the day's box score against the user's personal best discipline streak, so a losing trading day can still read as a stat-line win if risk discipline held.","user",5,2,4,"High Potential","Directly reinforces the strategy's core differentiator, discipline is the scoreboard, and adds a second daily touchpoint that compounds the North Star metric of briefings opened per day.","Reuses the existing daily briefing generator and the planned streak-tracking initiative; mostly a scheduling and comparison layer on top of infrastructure already being built.","Strong direct analog: fantasy sports apps built a massive daily habit on morning and evening recap notifications, the exact behavior the strategy's Opportunity section cites as proof this mechanic works.","Build this early. It costs little on top of what MTP already needs and gives users a reason to open the app twice a day instead of once, which compounds the North Star metric fast. The main risk is notification fatigue if the evening recap feels redundant with Pre-Match, so the personal-best framing needs to feel genuinely different, not a rehash."
idea-02,"Foul Trouble Alerts","Real-time email or push notification the moment a user crosses a defined risk rule, framed as a foul call.","user",5,4,4,"Risky Investment","This is the strategy's own phase 2 initiative and the mechanism most directly tied to the comprehension metric, percent of users who adjust a position within an hour of an alert.","Requires continuous real-time monitoring against per-user risk thresholds and a new low-latency notification pipeline, a meaningful step up from the once-a-day batch briefing the MTP is built around.","Real-time sports score push notifications are a proven consumer pattern people already opt into, but the strategy's own 25 percent target for post-alert action signals the team itself is not confident users will act on it.","Worth building, but only after the daily briefing habit is proven. The real-time infrastructure and per-user rule configuration are a real cost, and building it before confirming anyone opens a daily briefing risks investing in the wrong layer first. Sequence this after the MTP, exactly as the strategy's own roadmap already does."
idea-03,"Custom Time-of-Day Reports","Users choose specific times of day, like a halftime check, to receive updates on how their trading day is evolving.","user",2,4,2,"Distraction","Runs against the strategy's explicit positioning, the goal is not more data, and dilutes the single daily ritual the whole shot-clock metaphor is built around.","Needs a flexible per-user scheduling system and multiple report generations per day, which multiplies build complexity well beyond the single daily job the MTP is scoped for.","No analog in the personas: Marcus's current behavior is forgetting his positions exist for days, the opposite of wanting multiple check-ins, and the strategy's own cost-efficiency metric already flags AI generation cost per user as unproven even at one report a day.","Don't build this now. It multiplies the exact AI cost risk the strategy already flags as unresolved, and there is no evidence this casual audience wants more frequent updates. If it resurfaces, treat it as a power-user setting to test after retention is already strong, not before."
idea-04,"Away Game Mode","When a user has not opened a briefing for 2 or more days, the next one opens with a special catch-up recap instead of a normal daily briefing, re-engaging lapsed users without guilt-tripping them.","generated",4,2,4,"High Potential","Targets the exact lapsed-user pattern the strategy's own persona describes, Marcus forgets his positions exist and only checks days later, and directly supports the week 4 retention metric.","Reuses the existing daily briefing generator with a conditional branch and an inactivity trigger, no new data pipeline required.","Win-back and re-engagement notifications are a proven, widely used consumer pattern across fitness and habit apps for exactly this lapsed-user scenario.","Ship this in the MLP once daily open-rate tracking exists to detect the gap. It is cheap insurance against the churn the strategy already worries about, and the risk is low, worst case it reads as a normal briefing with slightly different framing."
idea-05,"Starting Five Setup","A guided onboarding flow where a new user picks their personal risk rules, position size limit, max drawdown, and so on, framed as drafting a starting lineup instead of filling out a risk form.","generated",4,2,3,"Bet","Risk rules must be defined before Foul Trouble Alerts can work at all, and a playful setup flow directly counters the persona's stated pain that risk dashboards feel like homework.","Builds a UX layer on top of the connect flow and mapping engine that already need to exist; mostly interface work, not new backend systems.","Playful, gamified onboarding is a common pattern in consumer apps generally, but there is no direct evidence this specific casual-trader audience will engage with a lineup-drafting metaphor for something as dry as risk limits.","Worth prototyping alongside the MTP connect flow. The payoff, better rule quality and less onboarding drop-off, is real, but test with a handful of users first since the metaphor might feel forced for something this technical."
idea-06,"Rivalry Mode","Two friends who both connect an account can compare their weekly discipline stat lines head to head, a lightweight 1v1 version of the social layer ahead of the full league feature.","generated",5,2,5,"High Potential","This is almost a direct quote from the Priya persona, if there was a leaderboard for not blowing up your account I would be at the top of it, making it the most evidenced idea in this entire set.","Reuses the streak tracking and invite link infrastructure already planned for the MLP and league layer; the head to head view is a thin comparison screen on top of existing data.","Directly grounded in a named persona quote in the strategy itself, plus friend versus friend comparison is the exact mechanic that made fantasy sports leagues sticky, the analog the strategy's own Opportunity section already cites.","Build this before the full League Layer. It tests the social virality hypothesis cheaply with a fraction of the build, and if it does not land, the full leaderboard investment can be reconsidered before it is built."
idea-07,"Buzzer Beater Recap","A Friday briefing that summarizes the week's box score and discipline streak in a highlight-reel format, a weekly rhythm on top of the daily briefing.","generated",4,1,4,"High Potential","Reinforces the discipline metric with a natural weekly checkpoint and gives users a second cadence to talk about, supporting week 4 retention without competing with the daily habit.","Same content pipeline as the existing daily briefing generator with a wider aggregation window, no new data source or infrastructure.","Weekly recap and review emails are a proven retention lever across finance, fitness, and productivity apps, a well-documented consumer pattern.","Cheap to add once the daily briefing generator exists. The only real risk is cadence overload if it lands too close to the daily briefing in tone, so keep it visually and narratively distinct as a weekly highlight, not a seventh daily briefing."
idea-08,"MVP Badge","A monthly badge awarded to whichever account in a friend group has the longest foul-free streak.","generated",2,3,3,"Distraction","Solves the same social-proof need as Rivalry Mode but with a heavier friend-group concept that does not exist yet, and Rivalry Mode already delivers the core value more cheaply, making this mostly redundant.","Requires a new friend-group data model beyond the simple 1v1 pairing that Rivalry Mode and the planned invite links already cover.","The underlying social-recognition need is supported by the same persona quote as Rivalry Mode, but this specific group-badge mechanic has no direct evidence over the simpler head to head version.","Skip this one for now. It duplicates Rivalry Mode's value at a higher build cost. If group dynamics turn out to matter once the full league layer ships, revisit it as a leaderboard feature instead of a standalone idea."
idea-09,"Coach's Challenge","A user sets a personal challenge, for example no fouls this week, and the AI narrates daily progress toward it inside the regular briefing.","generated",4,2,4,"High Potential","Turns the discipline metric into something the user actively chose and is chasing, which is a stronger retention driver than a passively tracked streak, and reinforces the strategy's discipline-is-the-scoreboard bet.","Reuses the existing streak data and narration engine, adding only a challenge state and a small UI to set it.","Self-set goals paired with visible progress tracking are a well-established habit-formation pattern in fitness and language-learning apps, a strong indirect analog even without basketball specificity.","Add this to the MLP alongside streak tracking, it is nearly free once the streak infrastructure exists and gives users a reason to return that they defined themselves, not just one the app assigned them."
idea-10,"Injury Report","A one-tap dismissible explainer that appears the first time a new term like foul or shot clock shows up in a briefing, explaining what it means in plain language.","generated",4,1,5,"High Potential","Directly protects the comprehension assumption that users understand the basketball terms without a tutorial; if that assumption is even partly wrong at scale, this is the cheapest possible insurance against it.","A standard first-use tooltip pattern, no new backend logic, just a dismissible UI element tied to term-first-appearance.","Inline contextual tooltips are close to universal in jargon-heavy fintech and gaming onboarding, one of the most proven UX patterns available.","Ship this with the MTP itself, not later. It costs almost nothing and directly de-risks the comprehension assumption before it becomes a support burden or a silent churn driver."
idea-11,"Overtime Warning","A softer, earlier nudge than Foul Trouble Alerts, sent when a position is trending toward a risk rule but has not crossed it yet.","generated",4,4,4,"Risky Investment","Lets users course-correct before a rule is actually broken, which could meaningfully lift the post-briefing risk action rate the strategy already tracks as a comprehension metric.","Needs the same continuous real-time monitoring infrastructure as Foul Trouble Alerts, plus an additional approaching-versus-crossed threshold band, a genuinely resource-heavy build for an early team.","Same proven real-time alert pattern as Foul Trouble Alerts, and the earlier-warning framing is a stronger value case since it prevents damage rather than reporting it after the fact.","Do not build this before Foul Trouble Alerts. They share the same expensive real-time infrastructure, so ship the reactive alert first, prove the real-time pipeline is worth the cost, then decide if the proactive version is worth doubling down on."
idea-12,"Season Pass Tiers","The daily briefing stays free forever, a paid tier unlocks the league layer, commentator voice packs, and personal stat history.","generated",4,4,4,"Risky Investment","Directly tests the business's ability to charge, which the strategy has not yet addressed, and gives a concrete answer to whether this audience will pay for anything at all.","Requires payment infrastructure and tier-gating logic across features, several of which, league layer, voice packs, do not exist yet, so this depends on other unbuilt work.","Freemium tiering with premium unlocks is a proven monetization pattern, and fantasy sports players already pay for premium league tools in adjacent markets, a reasonable direct analog.","Do not build this until AI cost per user is understood, the strategy itself flags that as unresolved, and until at least the league layer exists to be a paid unlock. Design the pricing model now, build the payment plumbing later."
idea-13,"Trade Deadline Digest","A monthly summary comparing this month's discipline trend to last month, for users who want visibility without a daily habit.","generated",2,1,3,"Distraction","Offers a lower-frequency alternative to the exact daily habit the entire strategy is built to prove, risking that it becomes a comfortable substitute for opening the daily briefing rather than a complement to it.","Cheap to build, reuses the same aggregation approach as Buzzer Beater Recap over a longer window.","Monthly summary emails are reasonably proven in adjacent categories like financial statements, but there is no evidence this specific audience wants a lower-engagement option before the daily habit itself is even validated.","Skip this until after the daily open-rate hypothesis is proven. Offering an easier, monthly alternative before the daily habit is established risks giving lapsed users a permission slip to disengage instead of pulling them back in."
idea-14,"Bench Player Mode","A preview mode using sample mock data that lets a waitlisted or pre-signup visitor see what a real briefing looks like before connecting a live cTrader account.","generated",4,2,4,"High Potential","Directly targets the activation funnel; connecting a live trading account is the biggest ask in onboarding, and the strategy names an explicit 80 percent MCP connection completion target that a low-commitment preview could help hit.","Swaps the data source in the already-planned mapping and narration engine for synthetic inputs; mostly reuses infrastructure being built anyway.","Try-before-you-commit previews and sample dashboards are a proven conversion pattern in fintech and SaaS onboarding to reduce signup friction.","Build this as part of the waitlist landing page in the MTP. It turns a passive signup into an active preview experience and should meaningfully raise the share of signups who go on to connect a real account."
idea-15,"Foul Language Toggle","A simple two-option toggle, hype announcer or calm coach, shipped early as a scoped-down test of the full commentator voice personalization planned for later.","generated",4,1,3,"Bet","Cheaply tests demand for the personalization layer the strategy names as a later differentiator, informing whether the full commentator voice investment in phase 5 is worth building at all.","Two pre-written tone variants for the existing narration prompt template, no new infrastructure.","Tone and personality toggles are generally well received in consumer apps, but there is no direct evidence this specific audience wants voice choice this early rather than later, as the strategy itself assumes.","Low cost, worth testing early even though the strategy treats full personalization as a later-phase feature. If nobody touches the toggle, that is useful signal to deprioritize the larger phase 5 investment."
idea-16,"Free Throw Practice","An interactive first-run tutorial that walks a brand-new user through one full mock briefing cycle step by step before their first real briefing arrives.","generated",2,3,2,"Distraction","Solves the same comprehension problem as the much cheaper Injury Report tooltip, and a multi-step interactive tutorial risks feeling exactly like the homework the persona explicitly says current risk dashboards feel like.","A guided, multi-step walkthrough is a real UI build, heavier than a simple contextual tooltip for the same problem.","Interactive tutorials have mixed evidence, many users skip them entirely, and Marcus's persona specifically describes losing patience with anything that feels like homework.","Skip this. Injury Report solves the same problem for a fraction of the cost and without the friction of a mandatory walkthrough. If comprehension issues persist after that ships, revisit, but not before."
idea-17,"Draft Day Referral","When a user invites a friend, both get a one-time bonus, such as early access to a feature, framed as drafting a teammate.","generated",4,2,4,"High Potential","Directly targets the growth and virality business metrics the strategy names, new connected accounts per week and league invites per active user, with a concrete incentive rather than a passive invite link.","Adds a reward and tracking layer on top of the referral and invite-link infrastructure already planned for the MLP.","Give-one-get-one referral incentives are an extremely well proven consumer growth mechanic across categories.","Ship this alongside the invite link tracking already planned. It is a small addition on top of infrastructure that needs to exist anyway, and referral incentives reliably lift invite conversion over a bare link."
idea-18,"Technical Foul Warning","A rare, seriously toned alert, breaking from the playful framing, reserved for account-threatening events like an approaching margin call.","generated",5,4,4,"Risky Investment","Directly protects against the ethics assumption already flagged in this product's own risk analysis, that gamifying risk could dull a user's reaction to genuinely dangerous moments, making this a reputational and safety necessity, not just a feature.","Needs its own severity tier and tone break on top of the same real-time monitoring infrastructure Foul Trouble Alerts and Overtime Warning require.","Breaking tone for safety-critical alerts inside an otherwise playful product is a well-established pattern, banking apps do the same for fraud alerts, and it directly closes a named ethical risk in this product's own assumption set.","Even though this sits in the same expensive real-time bucket as the other alert ideas, prioritize it first among them. It is not a growth feature, it is protection against the one Leap of Faith assumption with reputational and regulatory stakes, framing personal risk as a game must not make users take on more risk than they otherwise would."
idea-19,"Pre-Match","A daily morning message that reads live account exposure, margin, and drawdown via cTrader MCP and reports it as a pre-game stat line, the live-data counterpart to Post-Game Recap and the strategy's own phase 1 daily briefing.","generated",5,3,4,"High Potential","This is the strategy's own phase 1 foundation, the entire North Star metric (daily briefings opened) and every other idea in this set, including Post-Game Recap, depends on it existing first.","Requires building the risk-to-stat mapping engine for the first time (previously assumed to already exist when scoring Post-Game Recap), plus a scheduled job, prompt template, and delivery channel. A real, multi-part MTP build, but contained to a single live-data snapshot with no real-time or historical-data complexity.","Grounded in the persona's own quote, I check my fantasy team's box score every morning, plus the two required cTrader MCP calls, get_balance and get_positions, were live-tested against the actual local server and confirmed working.","Build this first, before anything else in this set. It is not really optional, it is the foundation Post-Game Recap and every other idea explicitly depends on. The main open risk is not feasibility, that is now confirmed, it is whether the basketball-metaphor mapping itself lands with real users, which only gets tested once this exists."
recommendation,"Recommendation","","","","","","","","","","Build Pre-Match first, it is the foundation every other idea in this set, including Post-Game Recap, depends on. Once it exists, layer in Post-Game Recap and the rest of the High Potential set: Rivalry Mode, Injury Report and Buzzer Beater Recap since they are nearly free, then Away Game Mode, Coach's Challenge, Bench Player Mode, and Draft Day Referral. Test the two Bets, Starting Five Setup and Foul Language Toggle, cheaply alongside them. Sequence the Risky Investments after the daily habit is proven, Technical Foul Warning first since it is safety-critical, then Foul Trouble Alerts, then Overtime Warning, then Season Pass Tiers last since it depends on features that do not exist yet. Drop all four Distractions, MVP Badge, Trade Deadline Digest, Free Throw Practice, and Custom Time-of-Day Reports, they are redundant, contradict the daily-habit thesis, or add cost without evidence."
